time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-22 00:00:00+00:00,5.0,4.0,6,4
2024-02-23 00:00:00+00:00,4.0,4.0,1,1
2024-02-24 00:00:00+00:00,5.0,5.0,10,4
2024-02-25 00:00:00+00:00,1.0,1.0,19,7
2024-02-26 00:00:00+00:00,4.0,4.0,3,3
2024-02-27 00:00:00+00:00,5.0,4.0,9,3
2024-02-28 00:00:00+00:00,12.0,4.0,44,7
2024-02-29 00:00:00+00:00,1.0,1.0,38,6
2024-03-01 00:00:00+00:00,4.0,3.0,94,8
2024-03-02 00:00:00+00:00,1.0,1.0,1,1
2024-03-03 00:00:00+00:00,8.0,5.0,69,10
2024-03-04 00:00:00+00:00,6.0,6.0,287,23
2024-03-05 00:00:00+00:00,2.0,2.0,37,4
2024-03-06 00:00:00+00:00,,,13,7
